,text,label
103,Ham likhte hi aisa hai ki khoon garam ho jaae! Khikhikhi! Khair yah bas mera imagination hai as a writer! Baaki OM RAUT ne apna likha hoga kuch alag!,0
105,"Ram ko kalpanik bolne Wala aur ye kehne Wala ki "" Jo Mandir jaate hai, wo ladkiya chedte hai"" Aisa kutta ab ""TEMPLE RUN"" Khel Raha hai...",0
106,"Ye to Hinduo se nafrat karta hai na....fir Mandir k dhakke kyu...isse Astha se koi mtlb nahi, elections se hai.",0
107,Achchha Indian Hindu n achchha Indian Muslim kabhi bhi ekdusre ke liye dil me nafrat nahi rakhta!Sir aap aise comments ko ignore karein pls!,0
109,Koi Tiger ka khoon kar do... Humari nhi to kisi ki nahi...,0
110,Jiska khoon  ek movie free mein dekhne ke liye ufaan maare wo Rajput,0
111,Jo bina zyaada load liye movie dekhne jaae wo moviegoer,0
112,"Jo Twitter pe Support, Boycott ka trend kare wo Chutiye",0
113,hina khan ek murder bhi kar degi toh bolegi maine use jaan lene ke liye nahi maara aise hi goli chalakar dekh rahi thi uspe,0
114,"Sir @jaipur_police , humare Rajput bhai @amitsingh933 ka khoon... http://fb.me/7sbLsxEy1 ",0
115,"Sir @jaipur_police , humare Rajput bhai @amitsingh933 ka khoon ufaan maar raha hai.  Kuch ho sakta hai kya? pic.twitter.com/58WFsQwnUh",0
116,ISE DEKH KAR JISKA KHOON NA KHOLE OR WO CHEEPIKIANS KO SUPPORT KARE TO WO CHUTIYA https://twitter.com/indicine/status/678186502291984384 …,0
117,India wale sab arshi ko hate karte h,0
118,Dil Sambhal Ja Zara Phir Mohabbat Karne Chala Hai Tu- Murder-2,0
119,Hate them. Sare marks yahin jate hain bc kisi ko kuch nahi ata,0
121,370 hate ya na hate abdullah india me hoke v pok pakistan ka batate hai aur tere jese 2 kodi ki congi chudail wahi kahegi jo congress karti ayi hai. tujhe v lagta hai halala ki aadat pad gyi hai islie esa bol rhi hai,0
122,KOI RAPE KAR RAHA HO ..AUR TUM DEKHTE RAHO TOH TUM BHI GUNHEGAR HO,0
123,To Bhai muhabbat konsa DSP lagwa deti Ha,0
124,@BeingSalmanKhan I hate ppl wen dey call him bhai jabki vo feeling hoti hi nahi hai,0
125,Desh me kitna Hatred felaoge Sir ji,0
126,Mulle Sirf terrorism ko invent karne ke liye jeet sakte hai..,0
127,"Is MC ko Bharat mein la kar phansi dena hai!! Kya  kar rhi BJP sarkar, parliament mein phle Pakistan  ko Atankwadi desh to ghosit kare e.",0
128,suadie kings apne badshat bachane k liye kisi ko be ne chora,0
129,muslamno ko Mecca aur Madina k nam pe cash karwata raha,0
131,hatred for all men..Dosti hai Dushmani to nahin..,0
133,Varun khan? ulti ganga hate speech @SanjayAzadSln @jigneshmevani80 @Shehla_Rashid @DrKumarVishwas @kanhaiyajnusu @ikamalhaasan @LambaAlka,0
134,Bhakts Hamesha SRK Ko Target Krte Hai ..,0
135,Hate Deepika K Liye Hai ..,0
136,Tag Block Bhakt Ka  Real SRK Haters ....,0
137,Btw Movie Apne Ko Dekhna nhi Hai,0
138,Badi ummide lagaye bethe hai apni maa ke murder ke khulase ka.hamare ander bhay hai . Thana fatehpur sikri ke imlaoda gaon ki daqeti murder ka,0
139,"Toilet ghotala, Sri Jan ghotala, bandh ghotala aur murder ka aarop.  Wah re tera surya.  Paltua ko sharm bhi aata hai ki nahi? ?",0
140,Ma khata ho Article 63 ka tahat is bat pa muzamil Abbas Tara ko 51 bar phansi ke saza honi chaye........gali gali ma shooor ha aia sara .................chorrrr ha,0
141,Thank You Gud night.Mere kaan se khoon nikal raha hai.,0
142,Islamic terror faila rakha ha india me inhone,0
143,muje kabhi yaqin nahi asakta tumhari baat pe k u like puneesh..isliye kyun karun nafrat jb tum keh hi jhoot rahi ho,0
144,@mahwashajaz_  tumre yaha aise khule aamm murder hote hai kya? https://twitter.com/ZeenabBaloch/status/935350186381070336 …,0
145,kisi kay baap ka yeh Pakistan thori hay !!,0
147,Kabhi nahi jhoot sunn kar kaan may se khoon nikla .   vote for shilpa,0
148,Yeh talent #Rishtedaaron main b hota hai,0
149,Chalo koi toh hai jo sacchai dekh sakta Hai...warna baqi toh andhe ho chuke hai nafrat me..koi hater galat video bana k bhej raha Hai aur yeh log pura such jane bagair uchal rahe Hain pagal log,0
151,"Ek Chehra Dil Ke Kareeb - Melodious Song - Lata @ Garam Khoon - Vinod Khanna, Sulakshana Pandit http://fb.me/t3qCAhx4 ",0
153,Sir lekin jo log rajput nahin hain to unka khoon dhanda hota hai?,0
154,"Tu Jaha Mai Waha, Starring: Vinod Khanna, Sulakshana Pandit, Movie- Garam Khoon 1980 http://fb.me/2oqOYfAgJ ",0
155,@TheKaranPatel  Yaar hadd ho gayi Karan Bua ki - iski subah SAAM Hina ke comments pe Hoti hai  Aur baat kaisi karta hai - Hina KO koi fark Nahi padta - aur Tu Apna khoon jalan raha hai  Aur aam janta see gaali bhi khaa Raha hai hadd hai,0
156,Jab Pappu Khan saffron terrorism bolta hai tab Hinduoo ka apman nahi hota hai?  Chee papu khan kay Pidi?,0
157,Ghatiya Gandagi Gairgujri Gulchharrey udaney walo ...Hatred Pungi,0
158,Good job magar dindharai rape murder Jo ho raha Hai bihar mai usko bhee dhayan rakhai Aap Twitter par pheknai sai kuch na hoga saheb crimes par control karai,0
159,"Ek ""khooni liberal"" ki ek buhat baray Leader say moaddabana guzarish. Aap liberals pe toh baras paray magar aap ke khoon kay piasay Khadim Rizvi aur Afzal Qadri say aap nay kufr kay fatway kay dar say is saal kay shoro main maafi maangli thi @ImranKhanPTIhttps://youtu.be/a5TGrUx3SGI ",0
160,ISSE KEHTE HAIN AANDH BHAKTI ....          HATE FOR SHILPA SHINDEY,0
161,Jo dharam ko chhupaye vo socho kya bhala kr skta h kisi ka..tbhi m socha ye saffron terror kyon kah rha h. Aaj itna pyar saffron se. Gandhi nhi gndi nali ki paidaish h.,0
162,"@geeta_phogat Thank you so much for this, hater ka aur kio kaam nahin hain, Hina ke liye itna hate hain ke aankhen band kar ke dekhte hain.",0
163,"Tum logo ko dete hunge Paise. Tum logo ko humare mulk k baato me kyu itna interest hai? Ohh samajh gaya, tum logo k mulk me Ab kuch baat karne reh he nahi gaya hoga. Sab kuch terrorism se he shuru aur nahi khatm",0
164,@GAUAHAR_KHAN @iamkamyapunjabi  why you guy have so me hate rate for someone kuch din ka biggboss hai khatam ho jaiga pr ap  logo k dil me apni jaga mat khoiye or @iamkamyapunjabi hina jo bhi or jaha se bhi aye hai pr ap kon ho ?https://twitter.com/geeta_phogat/status/935912187876458497 …,0
165,"Yukh, hate atay jaisay chitti larki",0
166,Arshi khan KO add q nai kia apni hatred mai?,0
167,Is conversation mai wo bi ti.,0
168,Sub Kai apnay point of view,0
169,But haters bicharay andhay.,0
170,"@sambhavnaseth Toh vikas Ke samne when someone said kali where is he? Vikas bhi Boht galt hai Kuch chizo mein. Aur shilpa ka bhi ab woh pehle wala roop Nikal raha hai because Uske arshi Aur akash ne Darar dikh rahi hai. Aaj na shilpa gandagi Aur puneesh mein se nafrat, contin...",0
171,Gale dena achi bat nahi agar ye sab khatam karna hai to #LuvTyagi ko vot karo ye sab khud ba khud khatam ho jayega,0
172,@sambhavnaseth mam apne Aaj bola sahi bola. But vikas bhi maze le raha tha. Waise Toh ladki Ko Moti bola usko bada problem ho raha tha. Aur Sab gandagi ne kiya hai but shilpa ne bhi Uski bhadas nikali hai sabpe. Uska hatred Aur uske sath jo bahr hua hai that has made shilpa.,0
173,"Aaj ka ep dekh k sahi me itna he khoon khol rha tha,Jis tarah se janwaro ki trh punish ne trimmer chalaya luv ko luckily khoon ni aya,hina n akash k sath jo kia insaniyat h he ni kya shilpa punish vikas bandagi me. #SHAME @BiggBoss @BeingSalmanKhan @eyehinakhan @TheLuvTyagi #BB11https://twitter.com/sambhavnaseth/status/935933743667261440 …",0
174,Bad politics ek hindu bhai dusre hindu bhai ka khoon pene k liye taiyar hogaya he...,0
175,Abhi bhe time he sab sudar jao.,0
177,Bda chhuparustam nikla re rahul baba.. Ise kahte h deeye niche andhera ...desh ko dhoka.. Aankho me dhul jhonk rha thha.. Aaj pta chla ye saffron terror kyon kahta firta h. Dhokhebaj h aaul baba,0
180,Gauahar k FB pe Hina se kam followers hain .. sahi toh hai ... logo@ko sach batana achha lagta hai sun na nahi .. koi gali toh nahi di na... kuchh bewkoof aise react kar rahe hain jaise murder kar diya ho  agar Hina inki chaplusi karti toh achha bolte,0
182,Rishta Likhenge Hum Naya Chotti Thakurains chakarvyuh earns Ratans hatred… https://goo.gl/fb/AZY4UF  #StarPlus #Colors,0
183,"Aaj kal khoon rare aata hai, due to unhealthy diet",0
184,"Jish movie ki story rape viktim girl ki ho,kya ek viktim ko sexy bolna shi hai,ye log simple name rakh skte the.",0
185,but inko Aise naam rakh kar controversy create kark film ki free publicity karwana tha.,0
186,Vivad hone pr freedom of speech khatre mein aa jata hai,0
187,We are showing  we  really kya baat kar rahe ho  aanshu aagaye yaar koi itna hatred kaise laa sakta hai,0
188,MAIN kon se sachye sa baagi? app ek pic laga k khud tabsra ker rahy ho? main ki koi laga doon ore khoon tum ya ker rahy thy? hahahah lol kia mazaq ha? pic.twitter.com/lwJkNXRkTq,0
189,Ajj mujhe puneesh aur bandgi ko dekha kar itna zadya gussa aa rha tha ki kaise log hai yeh Mujhe iss season k sabse worst Constants mil gye,0
190,Wese bhi ye sanghi hijde shadi se zyada rape main vishwas rakhte to teri maa ki sari khol kar dekh khaki chadhhi pehni hogi lol hijde chakke,0
191,Kal uski behn bati rape hogi,0
192,Tab bhi love jihad avivyakti ki azadi ban Jana chache,0
193,To khul ke bole pyar hai nafrat nhi... Game kiu khel raha hai,0
194,10 Logon Ko Phansi Lag Jae To Corruption Khatam Hojae Gi.. Sheikh Rasheed... http://fb.me/9huioeX0q ,0
195,kaun h vo log jo Hina Akash or luv ko vote kr rhe h...dil khi kho diya kya??? nafrat bdi cheez h.....,0
196,ek bar fair hokr vote ni kr skte??? insaniyat ki hade par ho gai aaj https://twitter.com/bollywood_life/status/935931424024166405 …,0
197,"madam aap ka chinta karna bilkul jayaj h, aap ke pati ek bahdur or nidar insan h, biswas rakhiye sir to bahut door ki baat h koi haat bhi nhi laga sakta h, phir aap bhi to ek hindu viragna ho, rani laxmibai rani durgabatti inka or aap ka khoon ek hi h,aap apne pati ki sakti ho,",0
199,@iPGaur @imanveergurjar Kamya english sikha rahi hate failane k sath sath,0
201,"PM ki post ki izzat krte hai isliye gaali nhi di, mgr jo PM ki post pr hai wo khoon choos raja hai desh ka or ap jese log uska sath de rahe hai",0
202,Hina ki team aisi hi hai kewal nafrat hi rakhti hai..Manu bhai,0
203,aaj hina ki baari aayi to apne time pe rone lgi public se appl karne lgi,0
204,Puri fake hai,0
209,She hate punish and bandagi iss liye.... Aur madam bolati h unbiased hu...,0
211,Hina ne khud shilpa ke baal kate ajj apni trun toh India dekh raha hai ek ladki dusri ladki ke baal cut kar rahi hai hate Hina nd love shilp,0
213,"Bahot gande log hai yaar ye #PunishSharma and #BandagiKalra ,,disgusting",0
214,Punish ki life me do hi cheeze chalti hai... 1) bandagi 2) gandagi,0
216,Chill yaar shilpaa...wo nahi samjhegi.. apna khoon math jala gulab k piche...Wo bas Akash PE taras kharahi aur kuch nai...calm down..,0
217,@BenafshaSoona acha hua k aap bahar aa gyi wrna hmari ankho s to khoon ki nadiyaan bah rhi thi.. U were not played well ben.. Apne ghar m gandgi felai hai hina khan or priyank k sath milkr..,0
219,"@adnanjilani4 Adnan Jeelani4 Super Hit Dramas Wafa Bewafa Se, Humare Ghar Mein, Mohabbat Nafrat Se, Aatish pic.twitter.com/TmpwDDB4kN",0
220,Tu unhi ki.najyaz aulaad hoga teri amma ka rape karkar chod diya hoga warna hume to yahi confirm chakke hain hijde hain aur han gandu bhi he,0
221,"Kisi producer ne isko agar show diya to unki bohot bari galti hogi, bcoz isne logo ka itna nafrat gain kiya hai ki TRP zero ho jayega uss show ka. @i_shilpa_shinde @Im_ShilpaShinde @Shilpa_Shinde_ @shilpa_shindey",0
222,Tumne half dekha Hai pura Dekho,0
223,Hina Ne Fb Fan Following ke baare me kaha Jo Sach Hai h Gauhar ke Followers Kam h fb pe,0
224,Sanjeeda vala Vikas ne bhi agree kiya ki gore log screen pe itne acche nahi dikhte,0
225,Hate karne ka reason laao,0
226,"Apne family ko khoon ke aansoo rulane wali bathroom ja ja ke, khud  mirchi lagnese khoon ke aansoo nikalne lagi  #BB11 #BiggBoss11 #BiggBoss",0
227,Wah Wah kya baat he par viyapam ghotale ki jaaz me 50 se jyada murder ho Gaye he . Apne tou world record Bana diya Saab. Badhai ho apko,0
229,Are nahi tag line was “Main Khoon Ke Aansu Royi Hu Kal”... khud ki galti or khud hi chilla rahi thi... #bb11,0
230,Hate speech cases sirf mojahiro pe Banty hae,0
231,"hai jaise Hitler,musolini,stalin,bagdadi aye the or sab khatm ho gye vaise ye daur bhi history ho jayega",0
233,Haleem beef hota hai sharma ji!!!! Modi ke sau khoon maaf hai bhaiyya! Chamche paalna modi ji se sekhe koi,0
236,Jiss tarhan woh Hina ka stuff phanek rahi thi,0
237,Rightly said...purane episode ki baat karni ...aaj to bichara rok rha tha and kuch galt b ni kiya...fir bhi...kha se laate h itni hate,0
238,"Bhai karan in Terrorist logo se bat mat kar apna hi bura hai , ye kisi ke sage nahi hote , inka alien mohammad khud kehta hai terrorism failao , bhai mat bat kar is jihadan se",0
239,Yaha jo stupid haters log barking kar rhe are stupid log tum to kehto ho tum hina ke hater ho lekin mujhe jaha tak pta bai hum kiso ko hate karte hai to usske bare mai baat bhi karna pasand nhi karte lekin tumlog to 24*7 hina ke barre mai baat karte ho no matter hate comments,0
240,@BiggBossNewz agar puneesh aur bandagi kalkothri m jate hai toh murder 2 ban jayegi bigboss k ghar m,0
241,"Ekdam ekdam sahi bola....kehe nahi sakte shilpa or punish ka defend krte krte khud hi na shahid ho jay....""Aao shilpa Maa mujhse bhi khoon kardo plzz""",0
242,Kal 2000 Gujaratiyo ke Khoon se apna haath rang ne wala Haiwan ask apne aapko Gujarat ka beta keh raha hai!!!!,0
243,Kya hoga ya bhai.. itna hatred..??,0
246,DHARNA DALWANAY KA LYA. JIS JUDGE NA MUMTAZ QADRI KO PHANSI KI SAZA DI US KO KUCH NAHIN OR GALIAN KIS KO,0
251,Gawd! Is @Biggboss k season ne dusre celebs k bhi asli chehre dikha diye. Shocking,0
252,I hate heena too par bhai gali mat do,0
254,thank you geeta ma'am. Insaan Nafrat me sahi aur galat hi bhool jata...,0
255,"Hiten is my Fev, but wo entertain nhi h",0
256,Or vo bakri ka rape nhi karte Hai vo unki begam hi hoti hai,0
257,Do one thing yr sabse pehle @GAUAHAR_KHAN n @iamkamyapunjabi ko tag karo n dikhao unhe k kisi ko HATE krne me itna ANDHA hona achha nai h..kam se kam sach jaan k ZAHAR uglo. Inko khudka @lostboy54 n Arshi b us convo me the wo to inko dikhega nai bas HINA HINA kra lo inse #ajiblog,0
259,Dikhta h Kon loser h Kal dekhna tumhaari bandagi and puneesh jaayenge jail then majja aayega ..Shilpa bhi khoon ke aasu royegi @eyehinakhan #hinakhan stay strong,0
260,Hina ne bandagi ko darane ke liye khudke thode kaate but bandagi ne uske bahot saare kaate hain .. It's not a fact just blind hate Lol agar tumko lagta hai wo sahi tha to I have nothing to say,0
261,Akash ki kya halat ki h ....aur wo bitch bandagi baar baar khoon k ansu khoon k ansu kr rahi h dikhe to nhi aansu...kisi k mirchi ankh mei jae to wo ankh nhi khol paega...bt wo thodi der mei khadi thi task mei waooo...,0
264,"Marne ke liye sirf public hai, ye dono haramkhor ganje Bhaion ko is liye roka gaya taa ke Hamara mazeed khoon choos saken!!",0
265,ji hona chahiye #stand against #terror...,0
266,YE hai desh ki police ke haal,0
267,"murder karne waale ko aachaarsahita ki wajha se action se dur kiya hua hai,har... http://fb.me/6zG4UrmoE ",0
269,zyada hogya hai rape se aagay nikal gayi hai aj kahani...,0
270,kisse bol rahe ho bhakt ko bol kar hi laya gaya ye bhadwa kadyani take hatred fela sake but d Q y d ppl go to dis show,0
271,Listen to Aj Phir tum pe piyaar aya hai..... Hate Story2..... Arijit Singh by Awais jalil #np on #SoundCloudhttps://soundcloud.com/awais-jalil/aaj-phir-video-song-hate-stor …,0
272,hehe wo writing ki wjase arhi thi  apni writing ko chukandar anaar aur kajar khilao take uska khoon bane,0
273,Riasati loug he hy nah jo Phir Aam worker k rape k baad qatal hone pr mulzimon ki pusht pnahi krte??,0
274,party to girls kar rahi hai wo to bechara rape hone gaya hai lagta hai,0
275,people are more important than their mistakes. Nafrat karna nahi aata. Hota hi nahi yaar. Aur Apno se toh bilkul nahi.,0
276,@gauravcsawant ek bar phir 90s ki tarah fauj ke hath khol ke dekho India kya duniya se terrorism khatam kar degi #indianarmy.,0
